Label,Extrema_Type,Index,Time_FITS,Time_JD,Pixel_Row,Pixel_Col,Latitude,Longitude,Value_NH3,Value_PCloud,Value_RGB
RGB,minima,10,2024-12-03T03:09:12.000,2460647.6313888887,14,294,1,66,139.85658089950465,2088.7221988475494,0.4713725566864014
RGB,minima,11,2024-12-03T03:12:14.043,2460647.6334958626,24,287,-9,73,111.37029567693351,1941.6269057763427,0.5108051953163553
RGB,minima,12,2024-12-03T03:25:26.250,2460647.6426649303,20,281,-5,79,131.6485239789018,2081.6743203751917,0.5087418518960476
RGB,minima,13,2024-12-03T03:29:04.723,2460647.6451935573,5,279,10,81,108.61958287288755,1803.0360030708755,0.44205256916107016
RGB,minima,14,2024-12-03T03:33:20.087,2460647.6481491546,23,276,-8,84,104.73777674770974,1939.269136206483,0.5055413641359495
RGB,minima,15,2024-12-03T03:49:03.551,2460647.6590688773,10,268,5,92,131.61593622609757,1856.3742542806976,0.5085234307512945
RGB,minima,16,2024-12-03T03:55:56.217,2460647.6638451084,17,263,-2,97,119.6329588993567,1911.859035784422,0.5362319052219392
RGB,minima,17,2024-12-03T04:14:12.638,2460647.6765351654,17,253,-2,107,120.92409898481897,1916.9418151778534,0.5250730292594179
RGB,minima,18,2024-12-03T04:33:01.750,2460647.689603588,17,243,-2,117,118.48509047362097,1851.1906757596698,0.5205882533142965
RGB,minima,19,2024-12-03T04:54:14.571,2460647.704335317,6,231,9,129,139.21716848191173,1943.6201486735285,0.38807523676327293
RGB,minima,20,2024-12-03T05:03:44.609,2460647.710932971,17,225,-2,135,116.01936734371873,1869.6292641330135,0.5121057286210683
RGB,minima,21,2024-12-03T05:09:45.529,2460647.715110294,4,220,11,140,89.91704655300707,1775.941339311247,0.43713956545380983
RGB,minima,22,2024-12-03T05:19:31.800,2460647.721895833,12,212,3,148,126.5593115278142,1831.3283417530445,0.5143529641628266
RGB,minima,23,2024-12-03T05:35:45.577,2460647.7331663994,23,203,-8,157,93.90676749466813,1898.1615684151213,0.5061086215651952
RGB,minima,24,2024-12-03T05:42:56.760,2460647.738156944,4,199,11,161,83.2896919049616,1744.4140646624242,0.4174902009963989
RGB,minima,25,2024-12-03T05:50:28.200,2460647.743381944,13,196,2,164,125.94338064969618,1798.0432075135334,0.4985882514715195
RGB,minima,26,2024-12-03T05:57:43.412,2460647.7484191176,22,189,-7,171,108.85559605605141,1942.8466844335132,0.4615916977910434
RGB,minima,27,2024-12-03T05:58:49.800,2460647.7491875,14,188,1,172,131.98843202870677,1873.9045480300374,0.4914509916305543
RGB,minima,28,2024-12-03T06:15:33.000,2460647.760798611,6,179,9,181,111.38056582288085,1849.5110703854964,0.4274509847164154
