Tags,label,jd_time,fits_time,area,eccentricity,centroid_lat,centroid_lon,weighted_centroid_lat_seg,weighted_centroid_lon_seg,seg_intensity_mean,seg_intensity_min,seg_intensity_max,intensity_mean,intensity_min,intensity_max,threshold
,5,2460977.848,2025-10-29T08:21:12.453,49,0.84465614,5.448979592,126.0408163,5.450168537,126.0411485,148.878972,145.1556177,154.1376885,1873.31606,1835.767389,1920.770181,145
,6,2460977.901,2025-10-29T09:37:14.717,115,0.913631485,3.72173913,169.4347826,3.733844431,169.4037325,152.1893462,145.0020433,162.0866124,1881.718255,1832.641379,1973.793969,145
,1,2460978.993,2025-10-30T11:49:42.692,156,0.917905263,5.08974359,52.60897436,5.099782232,52.62816287,151.467874,145.031876,158.0240886,1932.952247,1894.290474,1978.635126,145
2,2,2460979.006,2025-10-30T12:08:20.571,67,0.858549092,-4.28358209,75.62686567,-4.286886171,75.62578631,148.6109428,145.0006826,152.4359572,2094.942858,1993.5757,2167.712953,145
,1,2460981.866,2025-11-02T08:47:34.444,100,0.921751904,4.84,52.52,4.849606415,52.5355404,150.0082991,145.0061762,155.2210671,1965.830522,1913.580072,2013.040288,145
,2,2460981.895,2025-11-02T09:29:05.556,2,1,-4.5,78,-4.49887254,78,146.2079503,145.8782632,146.5376375,2123.265259,2108.472034,2138.058484,145
,3,2460982,2025-11-02T12:00:06.122,11,0.937465034,1.909090909,173.2727273,1.909676835,173.2715617,145.8020521,145.1403622,146.7285254,1897.55613,1888.872728,1911.232335,145
,1,2460983.919,2025-11-04T10:03:24.000,15,0.617972747,2.133333333,55.33333333,2.133959961,55.33353351,146.0457179,145.0369866,147.2405456,1916.927411,1900.48595,1943.472876,145
,2,2460984.011,2025-11-04T12:16:00.000,13,0.965208878,-0.230769231,174.5384615,-0.232864095,174.5419034,147.9189442,145.4197893,151.3743712,1787.745023,1766.002593,1805.982626,145
,1,2460984.818,2025-11-05T07:38:00.000,203,0.556647899,-0.226600985,158.4334975,-0.171709123,158.620986,163.9930641,145.0028387,199.7456154,1795.884129,1743.67345,1857.462381,145
,1,2460991.792,2025-11-12T07:00:45.000,1206,0.816313294,-0.078772803,107.4369818,0.468061171,101.9336756,251.2363656,145.0324252,641.1817678,1917.112053,1774.002997,2081.447223,145
,2,2460991.814,2025-11-12T07:32:00.000,3,0.816496581,14.66666667,146.3333333,14.66561151,146.3330553,145.3441465,145.0053063,145.8042273,1809.900059,1806.226675,1816.006876,145
,1,2460995.806,2025-11-16T07:21:10.800,80,0.92108248,5.025,59.025,5.0286202,59.04307772,150.5190194,145.2960089,157.3444874,1893.353736,1805.642604,1945.725915,145
,2,2460995.826,2025-11-16T07:49:01.500,80,0.683630461,-2.3625,95.1125,-2.370057551,95.11626857,147.849833,145.0158609,151.2854578,1855.4889,1790.856749,1975.964792,145
