observation,analysis,n_clusters,variable,cluster,mean,stddev
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,6,727,3,0.28585967,0.009849188
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,6,727,4,0.32605904,0.007968148
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,6,727,5,0.283367,0.018226987
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,6,727,6,0.34557453,0.029650604
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,6,889,1,0.07968562,0.0040337876
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,6,889,2,0.077040665,0.0054585394
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,6,889,3,0.0578786,0.003870723
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,6,889,4,0.07451748,0.0031993624
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,6,889,5,0.06395001,0.0036111663
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,6,889,6,0.08437567,0.008079333
20251016UTa-NEZ-A2,NH3_PCld,4,NH3,1,115.73872,33.02327
20251016UTa-NEZ-A2,NH3_PCld,4,NH3,2,209.60329,25.829464
20251016UTa-NEZ-A2,NH3_PCld,4,NH3,3,100.03901,34.35405
20251016UTa-NEZ-A2,NH3_PCld,4,NH3,4,240.98486,26.244793
20251016UTa-NEZ-A2,NH3_PCld,4,PCld,1,1541.1432,101.64487
20251016UTa-NEZ-A2,NH3_PCld,4,PCld,2,1826.9553,87.669
20251016UTa-NEZ-A2,NH3_PCld,4,PCld,3,1829.7092,115.69656
20251016UTa-NEZ-A2,NH3_PCld,4,PCld,4,2089.2917,85.66043
20251016UTa-NEZ-A2,NH3_PCld,5,NH3,1,247.11517,19.27325
20251016UTa-NEZ-A2,NH3_PCld,5,NH3,2,127.95939,26.333033
20251016UTa-NEZ-A2,NH3_PCld,5,NH3,3,208.86523,24.574963
20251016UTa-NEZ-A2,NH3_PCld,5,NH3,4,85.04912,26.060987
20251016UTa-NEZ-A2,NH3_PCld,5,NH3,5,146.31755,26.145412
20251016UTa-NEZ-A2,NH3_PCld,5,PCld,1,2076.1045,84.55508
20251016UTa-NEZ-A2,NH3_PCld,5,PCld,2,1533.306,111.02864
20251016UTa-NEZ-A2,NH3_PCld,5,PCld,3,1826.1727,85.95882
20251016UTa-NEZ-A2,NH3_PCld,5,PCld,4,1769.1559,105.18403
20251016UTa-NEZ-A2,NH3_PCld,5,PCld,5,1983.3756,128.68158
20251016UTa-NEZ-A2,NH3_PCld,6,NH3,1,160.65378,25.62743
20251016UTa-NEZ-A2,NH3_PCld,6,NH3,2,61.570786,20.30114
20251016UTa-NEZ-A2,NH3_PCld,6,NH3,3,207.31989,22.859793
20251016UTa-NEZ-A2,NH3_PCld,6,NH3,4,106.020355,25.620962
20251016UTa-NEZ-A2,NH3_PCld,6,NH3,5,247.34076,18.355444
20251016UTa-NEZ-A2,NH3_PCld,6,NH3,6,129.05461,27.014166
20251016UTa-NEZ-A2,NH3_PCld,6,PCld,1,2076.3523,111.17544
20251016UTa-NEZ-A2,NH3_PCld,6,PCld,2,1660.7444,79.46376
20251016UTa-NEZ-A2,NH3_PCld,6,PCld,3,1822.5358,82.55295
20251016UTa-NEZ-A2,NH3_PCld,6,PCld,4,1835.8359,83.04757
20251016UTa-NEZ-A2,NH3_PCld,6,PCld,5,2060.1128,91.23523
20251016UTa-NEZ-A2,NH3_PCld,6,PCld,6,1529.2944,106.14476
20251016UTa-NEZ-A2,NH3_PCld_AOI_CI,4,NH3,1,248.8252,21.7255
20251016UTa-NEZ-A2,NH3_PCld_AOI_CI,4,NH3,2,96.713486,34.061756
20251016UTa-NEZ-A2,NH3_PCld_AOI_CI,4,NH3,3,122.287834,40.18393
20251016UTa-NEZ-A2,NH3_PCld_AOI_CI,4,NH3,4,215.9655,26.459694
