id_raw,xcenter_raw,ycenter_raw,aperture_sum_raw,aperture_sum_bkg,net_count_rate,Target,Filter,Date-Obs,SessionID
1,251.0,427.0,2781657.4330933336,2394092.1779157287,94193.64331874678,3_Ganymede,730OII,2021-11-22T01:52:13,20211122UT
2,285.0,453.0,1429722.0420711196,2377374.350010393,26910.33304086111,4_Callisto,730OII,2021-11-22T01:52:13,20211122UT
3,442.0,505.0,2025298.183684811,2401866.177511513,56229.91835589969,2_Europa,730OII,2021-11-22T01:52:13,20211122UT
4,847.0,681.0,2277718.140862564,2502830.0451912433,66957.8436957924,1_Io,730OII,2021-11-22T01:52:13,20211122UT
1,794.0,801.0,871086754.7992756,18576456.23066503,47463956.03586241,0_Jupiter,730OII,2021-11-23T01:35:42,20211123UT
1,842.0,645.0,1403820.8747403792,3111857.8483877946,13159.676755275344,4_Callisto,730OII,2021-11-23T01:35:42,20211123UT
2,859.0,633.0,2141031.984252926,2696518.4540316183,62768.753555059404,1_Io,730OII,2021-11-23T01:35:42,20211123UT
3,908.0,508.0,2450243.8661026293,2389043.7341347225,86352.9147667838,3_Ganymede,730OII,2021-11-23T01:35:42,20211123UT
1,794.0,801.0,1252006317.688078,17758533.40416857,137334182.10506487,0_Jupiter,647CNT,2021-11-23T01:36:02,20211123UT
1,842.0,645.0,1259592.8371539554,2873766.4602447655,20214.49050690759,4_Callisto,647CNT,2021-11-23T01:36:02,20211123UT
2,859.0,633.0,1834228.0887383497,2443511.7593070264,101990.13099980164,1_Io,647CNT,2021-11-23T01:36:02,20211123UT
3,908.0,508.0,2117046.972423034,2193766.113331602,143820.51999152033,3_Ganymede,647CNT,2021-11-23T01:36:02,20211123UT
1,794.0,801.0,1558917833.7884746,19572046.94563548,154128535.9062677,0_Jupiter,632OI,2021-11-23T01:36:31,20211123UT
1,842.0,645.0,1436576.2949731268,3224191.1780148367,22750.46032175629,4_Callisto,632OI,2021-11-23T01:36:31,20211123UT
2,859.0,633.0,2124931.706987008,2761525.457758176,108935.96603276921,1_Io,632OI,2021-11-23T01:36:31,20211123UT
3,908.0,508.0,2460530.302270839,2450577.358694065,154156.37927605648,3_Ganymede,632OI,2021-11-23T01:36:31,20211123UT
1,794.0,801.0,1667420349.2201245,19049636.50216578,103141157.15834305,0_Jupiter,656HIA,2021-11-23T01:36:40,20211123UT
1,842.0,645.0,1399196.62948152,3088806.7794936574,15055.88044821241,4_Callisto,656HIA,2021-11-23T01:36:40,20211123UT
2,859.0,633.0,2194547.397736558,2550807.6854695505,77374.6572303423,1_Io,656HIA,2021-11-23T01:36:40,20211123UT
3,908.0,508.0,2490926.3659471506,2189145.460405063,104374.80114345325,3_Ganymede,656HIA,2021-11-23T01:36:40,20211123UT
